gtype,gid,gname,pid,seq,dtype,URL DB DATA,비고
WB,011,음란사이트,01,001,1,www.sehu.cool168.com,
WB,011,음란사이트,01,001,1,www.sehu.net,
WB,011,음란사이트,01,001,1,www.sheupskirts.com,
WB,011,음란사이트,01,001,1,www.siux.com,
WB,011,음란사이트,01,001,1,www.stjp.com,
WB,011,음란사이트,01,001,1,www.uhsex.com,
WB,011,음란사이트,01,001,1,www.x-systems.info,
WB,011,음란사이트,01,001,1,www.yandex-rambler.ru,
WB,011,음란사이트,01,001,1,www.yandsporn.com,
WB,011,음란사이트,01,001,1,www.yandy1.com,
WB,011,음란사이트,01,001,1,www.ydnara.infomaster.co.kr,
WB,011,음란사이트,01,001,1,www.ynadult.com,
WB,011,음란사이트,01,001,1,www.z3dji.solavite.co.kr,
WB,011,음란사이트,01,001,1,www.ztik.com,
WB,011,음란사이트,01,001,1,wwweh.superhot.hotgalleries.com,
WB,011,음란사이트,01,001,1,wwwhe.erotica.4-u.net,
WB,011,음란사이트,01,001,1,wwwhe.superhot.hotgalleries.com,
WB,011,음란사이트,01,001,1,wwwhu.sex.ahost.net,
WB,011,음란사이트,01,001,1,wwwn18p.assparadise.com,
WB,011,음란사이트,01,001,1,wwwra.hotchicks.xxx-hotmail.com,
WB,011,음란사이트,01,001,1,xxx.3scompany.com,
WB,011,음란사이트,01,001,1,xxx.beastiality.pics.tux.nu,
WB,011,음란사이트,01,001,1,youngblood.dhs.org,
WB,011,음란사이트,01,001,1,youngblowjob.com,
WB,011,음란사이트,01,001,1,ii-scans.webjump.com,
WB,011,음란사이트,01,001,1,kimizaki.ne.jp,
WB,011,음란사이트,01,001,1,www.cjsac8.infomaster.co.kr,
WB,011,음란사이트,01,001,1,www.jacsasians.com,
WB,011,음란사이트,01,001,1,www.joguest.com,
WB,011,음란사이트,01,001,1,www.noookie.com,
WB,011,음란사이트,01,001,1,www.onooli.com,
WB,011,음란사이트,01,001,1,209.103.167.101,
WB,011,음란사이트,01,001,1,www.3eyedturtle.com,
WB,011,음란사이트,01,001,1,www.a9-gay-porn.com,
WB,011,음란사이트,01,001,1,www.migirl.wo.to,
WB,011,음란사이트,01,001,1,209.103.167.102,
WB,011,음란사이트,01,001,1,166.90.137.39,
WB,011,음란사이트,01,001,1,2young.sexheroes.com,
WB,011,음란사이트,01,001,1,5bozi.ce.ro,
WB,011,음란사이트,01,001,1,biosys.net,
WB,011,음란사이트,01,001,1,one.iizo.net,
WB,011,음란사이트,01,001,1,venus-of-willendorf-1028.abby.nu,
WB,011,음란사이트,01,001,1,www.52angel.net,
WB,011,음란사이트,01,001,1,www.abanas.com,
WB,011,음란사이트,01,001,1,www.abandon.fr.st,
WB,011,음란사이트,01,001,1,www.abandoned.com,
WB,011,음란사이트,01,001,1,www.abandonedasians.com,
WB,011,음란사이트,01,001,1,www.abandonedgaysex.com,
WB,011,음란사이트,01,001,1,www.abandonedlatinas.com,
WB,011,음란사이트,01,001,1,www.abandonedlesbians.com,
WB,011,음란사이트,01,001,1,www.abandonedoralpics.com,
WB,011,음란사이트,01,001,1,www.abandonedyouth.com,
WB,011,음란사이트,01,001,1,www.abangbus.com,
WB,011,음란사이트,01,001,1,www.abanicoxxx.com,
WB,011,음란사이트,01,001,1,www.anaba.ne.jp,
WB,011,음란사이트,01,001,1,www.anabcn.com,
WB,011,음란사이트,01,001,1,www.anabella.free.fr,
WB,011,음란사이트,01,001,1,www.anabelmoon.co.uk,
WB,011,음란사이트,01,001,1,www.anabolic.com,
WB,011,음란사이트,01,001,1,www.anabolica.com,
WB,011,음란사이트,01,001,1,www.anabolicxxx.com,
WB,011,음란사이트,01,001,1,www.anbangmart.co.kr,
WB,011,음란사이트,01,001,1,www.baanthai.com/touristik,
WB,011,음란사이트,01,001,1,www.banaantje.nl,
WB,011,음란사이트,01,001,1,www.banabe.com,
WB,011,음란사이트,01,001,1,www.banana-city.com,
WB,011,음란사이트,01,001,1,www.banana-club.jp,
WB,011,음란사이트,01,001,1,www.banana-group.net,
WB,011,음란사이트,01,001,1,www.banana-tv.co.kr,
WB,011,음란사이트,01,001,1,www.banana.co.kr,
WB,011,음란사이트,01,001,1,www.banana.gg.ro,
WB,011,음란사이트,01,001,1,www.banana.k-pj.net,
WB,011,음란사이트,01,001,1,www.banana.tv,
WB,011,음란사이트,01,001,1,www.banana24.com,
WB,011,음란사이트,01,001,1,www.bananababes.com,
WB,011,음란사이트,01,001,1,www.bananabob.com,
WB,011,음란사이트,01,001,1,www.bananaboobs.com,
WB,011,음란사이트,01,001,1,www.bananaboy.net,
WB,011,음란사이트,01,001,1,www.bananacity.co.kr,
WB,011,음란사이트,01,001,1,www.bananacity.tv,
WB,011,음란사이트,01,001,1,www.bananaclub.com.tw,
WB,011,음란사이트,01,001,1,www.bananagalz.com,
WB,011,음란사이트,01,001,1,www.bananagirl.net,
WB,011,음란사이트,01,001,1,www.bananaguide.com,
WB,011,음란사이트,01,001,1,www.bananahouse.net,
WB,011,음란사이트,01,001,1,www.bananai.infomaster.co.kr,
WB,011,음란사이트,01,001,1,www.bananakyouwakoku.com,
WB,011,음란사이트,01,001,1,www.bananaloca.com.br,
WB,011,음란사이트,01,001,1,www.bananalove.com,
WB,011,음란사이트,01,001,1,www.bananamall.co.kr,
WB,011,음란사이트,01,001,1,www.bananamall.com,
WB,011,음란사이트,01,001,1,www.bananamart.net,
WB,011,음란사이트,01,001,1,www.banananavi.com,
WB,011,음란사이트,01,001,1,www.banananet.com,
WB,011,음란사이트,01,001,1,www.bananaonani.ce.ro,
WB,011,음란사이트,01,001,1,www.bananapeel.com,
WB,011,음란사이트,01,001,1,www.bananasex.co.kr,
WB,011,음란사이트,01,001,1,www.bananasex.com.br,
WB,011,음란사이트,01,001,1,www.bananashoes.com,
WB,011,음란사이트,01,001,1,www.bananassex.com,
WB,011,음란사이트,01,001,1,www.bananatb.pe.kg,
WB,011,음란사이트,01,001,1,www.bananathumbs.com,
WB,011,음란사이트,01,001,1,www.bananating.co.kr,
WB,011,음란사이트,01,001,1,www.bananatv.co.kr,
WB,011,음란사이트,01,001,1,www.bananatv.com,
WB,011,음란사이트,01,001,1,www.bananatv.ne.kr,
WB,011,음란사이트,01,001,1,www.bananatv.stoo.com,
WB,011,음란사이트,01,001,1,www.bananavi.com,
WB,011,음란사이트,01,001,1,www.bananavi.jp,
WB,011,음란사이트,01,001,1,www.bananawiz.com,
WB,011,음란사이트,01,001,1,www.bananayawo.wo.ro,
WB,011,음란사이트,01,001,1,www.bananenbar.com,
WB,011,음란사이트,01,001,1,www.bananenjungs.de,
WB,011,음란사이트,01,001,1,www.cmb.org,
WB,011,음란사이트,01,001,1,www.iinnocent.com,
WB,011,음란사이트,01,001,1,www.ininsex.sexplanets.com,
WB,011,음란사이트,01,001,1,www.luyinji.3y3.cn,
WB,011,음란사이트,01,001,1,www.nini.com,
WB,011,음란사이트,01,001,1,www.nini.zoa.to,
WB,011,음란사이트,01,001,1,yb2ru37m-8-2.abby.nu,
WB,011,음란사이트,01,001,1,66.118.162.232,
WB,011,음란사이트,01,001,1,207.246.139.57,
WB,011,음란사이트,01,001,1,i.am/umi_k,
WB,011,음란사이트,01,001,1,ns1.assmaster.com,
WB,011,음란사이트,01,001,1,www.zuware.com,
WB,011,음란사이트,01,001,1,wwweu.nudecelebs.ahost.net,
